id,gender,masterCategory,subCategory,articleType,baseColour,usage
56670,Men,Accessories,Watches,Watches,Black,Casual
5092,Men,Apparel,Topwear,Tshirts,Purple,Casual
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
15517,Men,Footwear,Shoes,Casual Shoes,Red,Casual
4140,Women,Footwear,Shoes,Casual Shoes,Green,Casual
36795,Men,Accessories,Watches,Watches,Silver,Casual
40527,Men,Accessories,Watches,Watches,Gold,Casual
10257,Men,Apparel,Bottomwear,Trousers,Black,Formal
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
45869,Men,Accessories,Watches,Watches,Brown,Casual
11385,Women,Apparel,Topwear,Sweatshirts,Black,Casual
53130,Women,Footwear,Shoes,Flats,Brown,Casual
21510,Women,Accessories,Bags,Handbags,White,Casual
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Casual
22395,Men,Apparel,Topwear,Shirts,Blue,Casual
35322,Women,Accessories,Jewellery,Earrings,Silver,Ethnic
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Casual
23247,Men,Footwear,Shoes,Formal Shoes,Black,Formal
31782,Women,Apparel,Topwear,Tops,Blue,Casual
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Casual
12500,Men,Apparel,Topwear,Shirts,Black,Casual
30650,Men,Apparel,Topwear,Tshirts,Black,Casual
21948,Women,Accessories,Bags,Handbags,Brown,Casual
32563,Women,Apparel,Bottomwear,Trousers,Blue,Casual
40143,Girls,Apparel,Topwear,Tops,Blue,Casual
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Formal
4716,Unisex,Accessories,Watches,Watches,Black,Sports
21174,Women,Apparel,Topwear,Tops,Beige,Casual
15341,Women,Apparel,Bottomwear,Shorts,Pink,Sports
14293,Men,Apparel,Topwear,Tshirts,Blue,Casual
47366,Women,Accessories,Bags,Handbags,Blue,Casual
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
23623,Girls,Apparel,Topwear,Tops,Pink,Casual
17416,Men,Footwear,Shoes,Sports Shoes,Black,Sports
9835,Women,Apparel,Topwear,Tshirts,Grey,Casual
29319,Unisex,Accessories,Bags,Backpacks,Red,Casual
7193,Women,Apparel,Bottomwear,Jeans,Black,Casual
12958,Men,Footwear,Shoes,Sports Shoes,Black,Sports
9009,Women,Accessories,Bags,Handbags,Brown,Casual
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
26351,Women,Accessories,Watches,Watches,White,Casual
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Sports
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Sports
13284,Men,Apparel,Bottomwear,Shorts,Black,Casual
54543,Men,Footwear,Shoes,Sports Shoes,White,Casual
26163,Men,Apparel,Bottomwear,Trousers,Grey,Formal
3701,Women,Apparel,Topwear,Tshirts,Black,Casual
29917,Men,Accessories,Watches,Watches,White,Casual
32751,Men,Footwear,Shoes,Casual Shoes,Black,Casual
56214,Women,Accessories,Jewellery,Earrings,Gold,Casual
10401,Women,Apparel,Topwear,Tops,Purple,Casual
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Casual
21346,Men,Accessories,Eyewear,Sunglasses,Gold,Casual
45603,Men,Footwear,Shoes,Formal Shoes,Black,Formal
4524,Men,Footwear,Shoes,Sports Shoes,Black,Sports
37223,Women,Apparel,Topwear,Tops,Blue,Casual
53766,Men,Apparel,Topwear,Tshirts,White,Casual
25520,Girls,Apparel,Topwear,Tops,White,Casual
32597,Women,Apparel,Topwear,Tops,Black,Casual
57100,Women,Apparel,Topwear,Tops,Pink,Casual
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Sports
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Casual
47392,Women,Accessories,Bags,Handbags,Beige,Casual
8913,Men,Footwear,Shoes,Sports Shoes,White,Sports
16530,Men,Apparel,Topwear,Shirts,Red,Casual
22705,Men,Footwear,Shoes,Casual Shoes,White,Casual
7167,Men,Apparel,Topwear,Shirts,Purple,Casual
13042,Women,Footwear,Shoes,Flats,Brown,Casual
6889,Women,Apparel,Topwear,Jackets,Cream,Casual
12190,Men,Apparel,Topwear,Shirts,Blue,Casual
55657,Women,Footwear,Shoes,Heels,Gold,Casual
19578,Women,Apparel,Topwear,Tops,Purple,Casual
27879,Women,Apparel,Topwear,Tops,Blue,Casual
34452,Women,Footwear,Shoes,Flats,Copper,Casual
6287,Men,Apparel,Topwear,Tshirts,Yellow,Casual
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
43500,Men,Apparel,Topwear,Tshirts,White,Casual
2627,Women,Footwear,Shoes,Flats,Silver,Casual
27045,Women,Accessories,Bags,Clutches,Off White,Casual
13270,Women,Apparel,Topwear,Tops,White,Casual
31120,Girls,Apparel,Topwear,Tops,Pink,Casual
11527,Men,Apparel,Topwear,Tshirts,Olive,Casual
40385,Women,Apparel,Topwear,Tops,Yellow,Casual
15187,Men,Apparel,Topwear,Tshirts,White,Casual
5402,Women,Footwear,Shoes,Sports Shoes,Purple,Sports
14055,Men,Apparel,Topwear,Shirts,Green,Casual
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
28469,Women,Apparel,Topwear,Tshirts,Pink,Casual
34036,Boys,Apparel,Topwear,Shirts,Blue,Casual
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Casual
3391,Women,Accessories,Bags,Handbags,White,Casual
43164,Men,Accessories,Watches,Watches,Black,Casual
2243,Men,Apparel,Topwear,Tshirts,White,Sports
33213,Women,Apparel,Topwear,Tops,Magenta,Casual
39729,Women,Apparel,Topwear,Tops,Olive,Casual
11143,Men,Apparel,Topwear,Shirts,Black,Casual
4988,Women,Apparel,Dress,Dresses,White,Casual
44341,Men,Apparel,Topwear,Tshirts,Blue,Casual
14431,Women,Footwear,Shoes,Heels,Black,Casual
20604,Women,Accessories,Bags,Handbags,Brown,Casual
52224,Women,Accessories,Jewellery,Necklace and Chains,Silver,Casual
45293,Women,Accessories,Watches,Watches,Red,Casual
36761,Men,Accessories,Watches,Watches,Black,Casual
25144,Women,Accessories,Bags,Handbags,Orange,Casual
11371,Men,Apparel,Topwear,Shirts,Black,Casual
41401,Women,Apparel,Topwear,Tops,White,Casual
37481,Women,Accessories,Watches,Watches,White,Casual
5254,Unisex,Accessories,Bags,Duffel Bag,Red,Casual
4386,Men,Apparel,Topwear,Tshirts,Grey,Casual
51693,Unisex,Accessories,Eyewear,Sunglasses,Brown,Casual
16154,Men,Footwear,Shoes,Formal Shoes,Black,Formal
29789,Men,Apparel,Topwear,Tshirts,Pink,Casual
19920,Unisex,Accessories,Bags,Backpacks,Black,Casual
7503,Men,Apparel,Topwear,Tshirts,Blue,Sports
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Casual
50741,Men,Footwear,Shoes,Casual Shoes,Black,Casual
13426,Men,Apparel,Topwear,Tshirts,Red,Casual
43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Sports
28207,Men,Accessories,Eyewear,Sunglasses,Black,Casual
13846,Men,Apparel,Topwear,Shirts,Blue,Casual
12994,Boys,Footwear,Shoes,Sports Shoes,Black,Sports
16508,Men,Apparel,Bottomwear,Jeans,Blue,Casual
19540,Men,Apparel,Topwear,Sweaters,Blue,Casual
7963,Men,Apparel,Topwear,Tshirts,White,Sports
8117,Men,Accessories,Watches,Watches,Black,Casual
57138,Women,Apparel,Bottomwear,Trousers,Brown,Casual
20856,Men,Footwear,Shoes,Casual Shoes,Black,Casual
58170,Women,Accessories,Bags,Clutches,Red,Casual
15983,Men,Apparel,Topwear,Shirts,Burgundy,Casual
39375,Women,Accessories,Watches,Watches,Silver,Casual
59290,Men,Accessories,Watches,Watches,Black,Casual
52678,Men,Accessories,Watches,Watches,Black,Casual
20258,Men,Apparel,Topwear,Tshirts,Brown,Casual
31924,Women,Accessories,Bags,Handbags,Black,Casual
26993,Women,Apparel,Bottomwear,Jeans,Blue,Casual
13248,Men,Apparel,Bottomwear,Trousers,Brown,Casual
43538,Women,Apparel,Topwear,Tops,Blue,Casual
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Casual
31118,Girls,Apparel,Topwear,Tops,Red,Casual
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Casual
5862,Men,Apparel,Topwear,Tshirts,Black,Casual
39711,Men,Accessories,Watches,Watches,Black,Casual
14409,Women,Footwear,Shoes,Heels,White,Casual
58726,Men,Apparel,Topwear,Tshirts,Grey,Casual
36759,Men,Accessories,Watches,Watches,White,Casual
51499,Women,Apparel,Bottomwear,Jeans,Blue,Casual
29583,Women,Footwear,Shoes,Flats,Silver,Casual
7709,Women,Apparel,Bottomwear,Jeans,Black,Casual
28451,Women,Apparel,Bottomwear,Track Pants,Black,Casual
43960,Men,Apparel,Topwear,Shirts,Grey,Formal
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Casual
19316,Unisex,Accessories,Bags,Backpacks,Grey,Casual
34832,Men,Footwear,Shoes,Sports Shoes,White,Sports
23885,Men,Footwear,Shoes,Sports Shoes,Grey,Sports
19918,Unisex,Accessories,Bags,Backpacks,Black,Casual
22359,Men,Apparel,Topwear,Shirts,Blue,Casual
16950,Men,Accessories,Eyewear,Sunglasses,Brown,Casual
49654,Women,Apparel,Bottomwear,Skirts,Grey,Casual
48786,Women,Accessories,Jewellery,Pendant,Silver,Casual
2049,Men,Apparel,Topwear,Tshirts,White,Sports
44977,Men,Accessories,Watches,Watches,Silver,Casual
41439,Men,Footwear,Shoes,Sports Shoes,Black,Sports
11349,Men,Apparel,Bottomwear,Jeans,Blue,Casual
24892,Men,Apparel,Topwear,Tshirts,Black,Casual
58514,Women,Apparel,Topwear,Tops,Grey,Casual
33825,Women,Footwear,Shoes,Sports Shoes,Silver,Sports
25940,Women,Accessories,Scarves,Scarves,Yellow,Casual
38637,Men,Apparel,Topwear,Tshirts,Red,Casual
5896,Men,Footwear,Shoes,Casual Shoes,Black,Casual
4944,Men,Apparel,Topwear,Shirts,White,Casual
10861,Men,Apparel,Topwear,Tshirts,White,Casual
42846,Women,Accessories,Bags,Handbags,Multi,Casual
35128,Women,Accessories,Jewellery,Bracelet,Purple,Casual
17278,Men,Apparel,Topwear,Tshirts,Grey,Casual
31588,Men,Apparel,Topwear,Tshirts,Maroon,Casual
49492,Men,Footwear,Shoes,Casual Shoes,Maroon,Casual
18230,Men,Apparel,Topwear,Tshirts,White,Casual
23871,Men,Apparel,Topwear,Tshirts,Grey,Casual
9667,Men,Apparel,Topwear,Shirts,Purple,Casual
3953,Women,Apparel,Topwear,Tshirts,Red,Casual
29745,Men,Accessories,Watches,Watches,Black,Casual
12538,Men,Apparel,Bottomwear,Track Pants,Blue,Casual
8587,Men,Apparel,Topwear,Shirts,Red,Casual
42248,Women,Apparel,Topwear,Tops,Pink,Casual
48772,Women,Accessories,Jewellery,Pendant,Silver,Casual
30668,Men,Accessories,Eyewear,Sunglasses,Black,Casual
9455,Men,Apparel,Topwear,Shirts,Red,Formal
44983,Women,Accessories,Watches,Watches,Silver,Casual
53934,Women,Accessories,Bags,Handbags,Brown,Casual
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Sports
25188,Women,Accessories,Bags,Handbags,Brown,Casual
53108,Women,Accessories,Jewellery,Earrings,Silver,Casual
21528,Women,Accessories,Bags,Handbags,Copper,Casual
59432,Women,Accessories,Bags,Handbags,Black,Casual
32903,Women,Apparel,Bottomwear,Shorts,Red,Casual
6079,Men,Apparel,Topwear,Tshirts,Grey,Casual
12960,Men,Footwear,Shoes,Sports Shoes,White,Sports
29321,Men,Apparel,Topwear,Tshirts,Black,Sports
9031,Men,Footwear,Shoes,Casual Shoes,Tan,Casual
26369,Women,Apparel,Topwear,Shirts,Blue,Casual
33489,Men,Apparel,Topwear,Shirts,Green,Casual
59056,Women,Footwear,Shoes,Casual Shoes,Blue,Casual
15379,Men,Footwear,Shoes,Casual Shoes,Black,Casual
45409,Women,Footwear,Shoes,Flats,Black,Casual
56822,Men,Apparel,Bottomwear,Trousers,Beige,Casual
58184,Women,Accessories,Bags,Handbags,Beige,Casual
40947,Boys,Apparel,Topwear,Tshirts,Red,Casual
39381,Men,Apparel,Bottomwear,Jeans,Black,Casual
15977,Men,Apparel,Topwear,Shirts,Red,Casual
32769,Men,Apparel,Topwear,Tshirts,Blue,Casual
10439,Men,Apparel,Topwear,Tshirts,Brown,Casual
59264,Women,Accessories,Watches,Watches,White,Casual
14099,Women,Apparel,Topwear,Tops,Pink,Casual
1852,Men,Apparel,Topwear,Tshirts,Blue,Casual
30802,Men,Apparel,Topwear,Shirts,Blue,Ethnic
7399,Men,Footwear,Shoes,Formal Shoes,Black,Formal
26967,Women,Apparel,Topwear,Tops,Navy Blue,Casual
9203,Men,Footwear,Shoes,Sports Shoes,Black,Sports
19786,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
44948,Men,Footwear,Shoes,Sports Shoes,Black,Sports
24091,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
41406,Women,Apparel,Topwear,Tshirts,Pink,Casual
11376,Women,Apparel,Topwear,Tops,Grey,Casual
25143,Women,Accessories,Bags,Clutches,Silver,Casual
5253,Unisex,Accessories,Bags,Duffel Bag,Grey,Casual
4381,Men,Apparel,Topwear,Tshirts,Blue,Casual
46623,Unisex,Accessories,Bags,Backpacks,Black,Casual
7504,Women,Apparel,Topwear,Tshirts,Pink,Sports
22366,Men,Apparel,Topwear,Tshirts,White,Casual
51694,Unisex,Accessories,Eyewear,Sunglasses,Brown,Casual
16153,Men,Footwear,Shoes,Formal Shoes,Black,Formal
50746,Men,Footwear,Shoes,Formal Shoes,Black,Formal
34203,Men,Apparel,Bottomwear,Track Pants,Charcoal,Casual
13421,Men,Apparel,Topwear,Tshirts,Black,Casual
27614,Men,Apparel,Bottomwear,Trousers,Beige,Casual
22154,Men,Footwear,Shoes,Formal Shoes,Black,Formal
16361,Men,Apparel,Topwear,Shirts,Maroon,Formal
46411,Men,Apparel,Topwear,Sweatshirts,Black,Casual
34031,Boys,Apparel,Topwear,Shirts,Blue,Casual
22968,Unisex,Accessories,Bags,Backpacks,Black,Casual
3396,Women,Accessories,Bags,Handbags,Blue,Casual
31543,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
19329,Men,Footwear,Shoes,Casual Shoes,Brown,Casual
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Casual
2244,Women,Apparel,Topwear,Tshirts,Black,Casual
43163,Men,Accessories,Watches,Watches,White,Casual
10096,Women,Footwear,Shoes,Sports Shoes,Blue,Sports
11144,Men,Apparel,Topwear,Shirts,Black,Casual
20603,Women,Accessories,Bags,Handbags,Black,Casual
36766,Men,Accessories,Watches,Watches,Black,Casual
45294,Women,Accessories,Watches,Watches,Black,Casual
52223,Women,Accessories,Jewellery,Necklace and Chains,White,Casual
34455,Women,Footwear,Shoes,Heels,Black,Formal
6280,Men,Apparel,Topwear,Tshirts,Pink,Casual
7352,Men,Apparel,Topwear,Tshirts,Purple,Casual
27042,Women,Accessories,Bags,Clutches,Black,Casual
2620,Men,Apparel,Topwear,Tshirts,Blue,Sports
43507,Men,Apparel,Topwear,Tshirts,Maroon,Casual
31127,Girls,Apparel,Dress,Dresses,Black,Casual
11520,Women,Apparel,Bottomwear,Jeans,Black,Casual
40382,Women,Apparel,Topwear,Tops,Pink,Casual
52647,Women,Accessories,Bags,Handbags,Black,Casual
20267,Women,Footwear,Shoes,Heels,Black,Casual
14052,Men,Apparel,Topwear,Shirts,White,Casual
53795,Men,Apparel,Topwear,Tshirts,Black,Casual
5405,Men,Footwear,Shoes,Sports Shoes,White,Sports
32590,Women,Apparel,Bottomwear,Shorts,Brown,Casual
11712,Men,Apparel,Topwear,Shirts,Blue,Casual
25527,Women,Apparel,Topwear,Shirts,Green,Casual
57107,Women,Apparel,Topwear,Tops,Olive,Casual
33442,Women,Accessories,Bags,Handbags,Teal,Casual
39944,Men,Footwear,Shoes,Casual Shoes,Grey,Casual
36130,Men,Footwear,Shoes,Casual Shoes,Grey,Casual
44510,Unisex,Footwear,Shoes,Casual Shoes,Black,Casual
13879,Men,Apparel,Topwear,Shirts,Red,Casual
47395,Women,Accessories,Bags,Handbags,Green,Casual
22702,Women,Footwear,Shoes,Casual Shoes,Beige,Casual
8914,Men,Footwear,Shoes,Sports Shoes,White,Sports
13045,Women,Footwear,Shoes,Flats,Maroon,Casual
12197,Men,Apparel,Topwear,Tshirts,Orange,Casual
55650,Women,Footwear,Shoes,Heels,Multi,Casual
6274,Women,Apparel,Topwear,Tshirts,Green,Casual
17623,Men,Apparel,Bottomwear,Track Pants,Grey,Sports
48927,Women,Accessories,Jewellery,Ring,Silver,Casual
26958,Women,Apparel,Topwear,Shirts,Teal,Casual
13283,Men,Apparel,Topwear,Shirts,Blue,Casual
54544,Men,Footwear,Shoes,Sports Shoes,Black,Sports
30001,Women,Accessories,Watches,Watches,White,Casual
29910,Men,Accessories,Watches,Watches,Black,Casual
3706,Men,Apparel,Topwear,Tshirts,Grey,Casual
26164,Men,Apparel,Bottomwear,Trousers,Grey,Formal
56213,Women,Accessories,Jewellery,Earrings,Gold,Casual
15948,Men,Accessories,Ties,Ties,Burgundy,Formal
40376,Women,Apparel,Topwear,Tops,Yellow,Casual
10406,Women,Apparel,Dress,Dresses,Grey,Casual
4523,Men,Footwear,Shoes,Sports Shoes,Blue,Sports
45604,Men,Footwear,Shoes,Formal Shoes,Brown,Formal
15174,Men,Apparel,Topwear,Tshirts,Yellow,Casual
21341,Men,Accessories,Eyewear,Sunglasses,Steel,Casual
53761,Men,Apparel,Topwear,Tshirts,Green,Casual
37224,Women,Apparel,Topwear,Shirts,Purple,Casual
32564,Women,Apparel,Bottomwear,Trousers,Orange,Casual
10634,Men,Footwear,Shoes,Formal Shoes,Black,Formal
40144,Girls,Apparel,Topwear,Tops,Pink,Casual
15346,Men,Apparel,Topwear,Tshirts,Black,Casual
21173,Women,Apparel,Topwear,Shirts,Grey,Casual
4711,Unisex,Accessories,Watches,Watches,Black,Sports
40978,Boys,Apparel,Topwear,Tshirts,Red,Casual
14294,Men,Apparel,Topwear,Tshirts,Black,Casual
17411,Men,Footwear,Shoes,Sports Shoes,White,Sports
9832,Women,Apparel,Topwear,Tshirts,Orange,Casual
23624,Girls,Apparel,Topwear,Tops,White,Casual
6046,Men,Apparel,Topwear,Shirts,Green,Casual
34693,Girls,Apparel,Bottomwear,Shorts,Pink,Casual
47361,Women,Accessories,Bags,Handbags,Black,Casual
7194,Women,Apparel,Topwear,Tops,White,Casual
30233,Men,Footwear,Shoes,Casual Shoes,White,Casual
48329,Women,Accessories,Bags,Handbags,Purple,Casual
12163,Women,Apparel,Bottomwear,Leggings,Purple,Ethnic
3534,Women,Apparel,Topwear,Tshirts,Black,Casual
24065,Men,Apparel,Topwear,Shirts,Green,Casual
10250,Women,Accessories,Bags,Handbags,Brown,Casual
40520,Men,Accessories,Watches,Watches,Cream,Casual
1607,Men,Apparel,Bottomwear,Track Pants,Blue,Sports
11382,Women,Apparel,Topwear,Tshirts,Grey,Casual
37472,Men,Accessories,Watches,Watches,Grey,Casual
53137,Women,Footwear,Shoes,Flats,Brown,Casual
15722,Men,Footwear,Shoes,Sports Shoes,Grey,Sports
4375,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
35325,Women,Accessories,Jewellery,Earrings,Silver,Ethnic
22392,Women,Apparel,Topwear,Tops,White,Casual
51660,Men,Accessories,Watches,Watches,Black,Casual
6422,Unisex,Footwear,Shoes,Casual Shoes,Black,Casual
12507,Men,Footwear,Shoes,Casual Shoes,Black,Casual
31785,Women,Apparel,Topwear,Tops,Navy Blue,Casual
3150,Men,Footwear,Shoes,Sports Shoes,Black,Sports
17849,Women,Apparel,Topwear,Tshirts,Grey,Casual
29548,Men,Apparel,Topwear,Tshirts,Navy Blue,Casual
42879,Women,Accessories,Bags,Clutches,Black,Casual
16395,Men,Apparel,Topwear,Shirts,Black,Casual
51452,Women,Apparel,Topwear,Tops,White,Casual
6610,Men,Apparel,Topwear,Tshirts,White,Casual
47537,Women,Footwear,Shoes,Flats,Brown,Casual
17247,Men,Apparel,Topwear,Tshirts,Blue,Casual
23072,Men,Apparel,Bottomwear,Trousers,Navy Blue,Formal
42045,Men,Footwear,Shoes,Casual Shoes,Yellow,Casual
3362,Men,Apparel,Topwear,Tshirts,Black,Casual
54120,Women,Footwear,Shoes,Flats,Beige,Casual
9658,Men,Apparel,Topwear,Shirts,Maroon,Casual
43197,Women,Accessories,Watches,Watches,Grey,Casual
38608,Men,Apparel,Topwear,Tshirts,Grey,Casual
24257,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Casual
10062,Men,Apparel,Topwear,Tshirts,Grey,Casual
56677,Men,Accessories,Watches,Watches,White,Casual
32332,Men,Accessories,Watches,Watches,Steel,Casual
5095,Men,Apparel,Topwear,Tshirts,Blue,Casual
37640,Women,Accessories,Bags,Clutches,Red,Casual
4147,Women,Footwear,Shoes,Sports Shoes,White,Sports
36792,Men,Accessories,Watches,Watches,Black,Casual
45260,Men,Accessories,Watches,Watches,Black,Casual
